"name","price_amount"
"Atreo Medical",""
"Atreus Systems",""
"Atritech","$375,000,000.00"
"Atrua Technologies","$600,000,000.00"
"Atsana Semiconductor","$1,350,000.00"
"Attachments.me",""
"Attassa",""
"Attenex","$88,000,000.00"
"Attributor",""
"AuctionDrop",""
"AuctionPay",""
"Auctomatic","$5,000,000.00"
"AudioAudit",""
"AudioBoo",""
"AudioCaseFiles",""
"Audiolife",""
"AudioMicro",""
"Auditude","$120,000,000.00"
"AUPEO!",""
"Auspex Pharmaceuticals","$3,200,000,000.00"
"Ausra",""
"Austin-Tetra",""
"AuthenTec","$356,000,000.00"
"Authentica",""
"Peopleclick Authoria","$63,100,000.00"
"Authy",""
"Autobase",""
"AutoDa",""
"Automated Insights","$80,000,000.00"
"AutoMD",""
"AutoNavi",""
"Autoquake",""
"AutoReflex.com",""
"Autotask",""
"AutoWeb, Inc.",""
"Auxilium Pharmaceuticals","$2,600,000,000.00"
"Avaak","$31,000,000.00"
"Avaki",""
"Avalign Technologies Holdings",""
"Avamar Technologies",""
"Avangate",""
"Avanir Pharmaceuticals","$3,500,000,000.00"
"Aveksa",""
"Avenda Systems",""
"Aventones",""
"Averail",""
"AVG Technologies",""
"Aviary",""
"Aviate","$80,000,000.00"
"AVIcode",""
"Avid Radiopharmaceuticals","$800,000,000.00"
"Avidia","$290,000,000.00"
"Avila Therapeutics","$350,000,000.00"
"Avinity",""
"Avisena",""
"Avito.ru","$1,200,000,000.00"
"AxisMobile","$4,900,000.00"
"Avolon Holdings","$7,600,000,000.00"
"Avot Media",""
"avVenta",""
"Avvenu",""
"AwarenessHub",""
"AwesomenessTV","$33,000,000.00"
"AwesomeTouch",""
"AWR Corporation",""
"Axceler",""
"Axeda","$170,000,000.00"
"Axerra Networks","$25,000,000.00"
"Axiom Microdevices",""
"AxioMx",""
"Axis Network Technology",""
"Axis Systems",""
"Axolotl",""
"AxonX",""
"Azalea Networks",""
"Azaleos",""
"Azanda",""
"Aztek Networks",""
"Azuki Systems",""
"Azure Solutions","$140,000,000.00"
"Azuro",""
"B-hive Networks",""
"b5media",""
"Babble","$40,000,000.00"
"BabyCenter","$10,000,000.00"
"Babyoye",""
"Bacchus Vascular",""
"Backflip Studios","$112,000,000.00"
"BackType",""
"BackupAgent",""
"Backupify",""
"Backyard",""
"Bacterial Barcodes",""
"Bakbone Software","$55,000,000.00"
"Balance Financial",""
"BalconyTV",""
"Ballista Securities",""
"Bandsintown",""
"Simple","$117,000,000.00"
"Bantam Live","$15,000,000.00"
"Banyan Branch",""
"Barosense",""
"BARRX Medical","$325,000,000.00"
"Bartlett Holdings",""
"Bartlett Holdings",""
"Bartlett Holdings",""
"BASH Gaming","$165,000,000.00"
"Basis Science","$100,000,000.00"
"Baxano",""
"BBE","$55,000,000.00"
"Raytheon BBN Technologies","$350,000,000.00"
"BCD Semiconductor Manufacturing Limited","$151,000,000.00"
"BCNX",""
"Beach Solutions",""
"Beacon Partners",""
"Beamly",""
"Beats Electronics","$3,000,000,000.00"
"MANGLAM EDUCATION","$10,000,000.00"
"MANGLAM EDUCATION","$850,000,000.00"
"Beceem Communications","$316,000,000.00"
"Become, Inc.",""
"BEELINE Technologies","$21,000,000.00"
"Beepl",""
"Beezik",""
"Behance","$150,000,000.00"
"Behavio",""
"BeInSync","$25,000,000.00"
"BelAir Networks",""
"BeliefNet",""
"Bellwave Co",""
"Benaissance","$80,000,000.00"
"Benefitter",""
"Benesight",""
"Benson Group",""
"Benten BioServices",""
"beRecruited","$17,000,000.00"
"Bering Media",""
"Berkeley Design Automation",""
"Berkäna Wireless","$56,000,000.00"
"Bermai","$5,000,000.00"
"Besser Betreut",""
"BestContractors.com",""
"Bestofmedia Group",""
"BestVendor",""
"Retention.ai (formerly BetaGlide)",""
"BetaStudios",""
"Better Place","$12,000,000.00"
"Bevo Media",""
"BeVocal",""
"BeyondTrust","$310,000,000.00"
"BeyondTrust",""
"BiancaMed",""
"Bidstalk",""
"Big Fish","$885,000,000.00"
"Big Frame","$15,000,000.00"
"Big Fuel",""
"Big Six",""
"Big Stage",""
"BigBand Networks","$172,000,000.00"
"BigFix",""
"Bigfoot Interactive",""
"Bigfoot Networks",""
"BigMachines","$400,000,000.00"
"BigSwerve",""
"BigTent Design",""
"BigZop",""
"BillGuard",""
"Bill Me Later","$945,000,000.00"
"Bina Technologies",""
"BinOptics","$230,000,000.00"
"Bioceros",""
"Biocontrol",""
"BioFire Diagnostics",""
"BioImagene","$100,000,000.00"
"Biolipox",""
"BioProcessors",""
"Bioptigen",""
"BioRexis",""
"Bioscan",""
"BioSeek","$14,000,000.00"
"Biosystem Development",""
"Biosystems International",""
"BioTrove",""
"BioVex","$1,000,000,000.00"
